t_ms,aX,aY,aZ,gX_yaw,gY,gZ_roll,sog_kn,cog_deg,roll_raw,amag
# BOOT millis=1200
1245,0.000,0.000,0.000,0.00,0.00,0.00,0.27,135.7,-0.0,0.00
1285,0.000,0.000,0.000,0.00,0.00,0.00,0.27,135.7,-0.0,0.00
1325,0.000,0.000,0.000,0.00,0.00,0.00,0.27,135.7,-0.0,0.00
1365,0.000,0.000,0.000,0.00,0.00,0.00,0.27,135.7,-0.0,0.00
1405,0.000,0.000,0.000,0.00,0.00,0.00,0.27,135.7,-0.0,0.00
1445,0.000,0.000,0.000,0.00,0.00,0.00,0.27,135.7,-0.0,0.00
1485,-0.130,0.140,9.580,0.12,-1.25,0.44,0.27,135.7,-132.9,9.58
1525,-0.160,0.150,9.600,0.12,-1.00,0.38,0.27,135.7,-136.8,9.60
1565,-0.130,0.120,9.610,-0.12,-0.88,0.38,0.27,135.7,-137.3,9.61
1605,-0.130,0.130,9.590,0.00,-0.62,0.31,0.27,135.7,-135.0,9.59
1645,-0.110,0.140,9.630,0.19,-0.50,0.38,0.27,135.7,-128.2,9.63
1685,-0.110,0.130,9.610,-0.06,-0.31,0.56,0.27,135.7,-130.2,9.61
1725,-0.100,0.140,9.660,-0.31,0.00,0.19,0.27,135.7,-125.5,9.66
1765,-0.090,0.110,9.640,-0.19,0.25,0.31,0.27,135.7,-129.3,9.64
1805,-0.090,0.110,9.640,-0.25,0.50,0.31,0.27,135.7,-129.3,9.64
1845,-0.100,0.100,9.620,-0.25,0.75,0.25,0.27,135.7,-135.0,9.62
1885,-0.110,0.110,9.620,-0.31,0.88,0.19,0.27,135.7,-135.0,9.62
1925,-0.140,0.080,9.590,-0.06,1.00,0.19,0.27,135.7,-150.3,9.59
1965,-0.130,0.100,9.590,-0.31,1.19,0.19,0.27,135.7,-142.4,9.59
2005,-0.150,0.090,9.580,-0.19,1.25,0.12,0.27,135.7,-149.0,9.58
2045,-0.130,0.060,9.460,-0.38,1.31,0.31,0.27,135.7,-155.2,9.46
2085,-0.150,0.110,9.470,-0.31,1.38,0.25,0.27,135.7,-143.7,9.47
2125,-0.200,0.090,9.530,-0.25,1.44,0.31,0.27,135.7,-155.8,9.53
2165,-0.210,0.040,9.510,-0.25,1.56,0.12,0.11,135.7,-169.2,9.51
2205,-0.170,0.070,9.510,-0.38,1.50,0.31,0.11,135.7,-157.6,9.51
2245,-0.170,0.060,9.490,-0.12,1.19,0.31,0.11,135.7,-160.6,9.49
2285,-0.200,0.060,9.510,-0.12,1.62,0.19,0.11,135.7,-163.3,9.51
2325,-0.190,0.080,9.530,0.00,1.44,0.12,0.11,135.7,-157.2,9.53
2365,-0.230,0.050,9.530,-0.06,1.44,0.12,0.11,135.7,-167.7,9.53
2405,-0.240,0.060,9.540,0.06,1.38,0.19,0.11,135.7,-166.0,9.54
2445,-0.270,0.050,9.530,0.00,1.31,0.12,0.11,135.7,-169.5,9.53
2485,-0.250,0.060,9.550,0.12,1.19,0.19,0.11,135.7,-166.5,9.55
2525,-0.270,0.090,9.520,0.19,1.00,0.25,0.11,135.7,-161.6,9.52
2565,-0.270,0.080,9.520,0.19,1.25,0.25,0.11,135.7,-163.5,9.52
2605,-0.290,0.090,9.550,0.19,0.88,0.25,0.11,135.7,-162.8,9.55
2645,-0.290,0.100,9.550,0.25,0.81,0.25,0.11,135.7,-161.0,9.55
2685,-0.300,0.100,9.570,0.12,0.81,0.06,0.11,135.7,-161.6,9.58
2725,-0.310,0.110,9.570,0.25,0.50,0.19,0.11,135.7,-160.5,9.58
2765,-0.320,0.100,9.550,0.31,0.38,0.31,0.11,135.7,-162.6,9.56
2805,-0.320,0.090,9.530,0.25,0.25,0.06,0.11,135.7,-164.3,9.54
2845,-0.330,0.090,9.550,0.25,0.06,0.19,0.11,135.7,-164.7,9.56
2885,-0.320,0.090,9.560,0.06,0.00,0.12,0.11,135.7,-164.3,9.57
2925,-0.300,0.110,9.540,0.19,-0.06,0.19,0.11,135.7,-159.9,9.55
2965,-0.300,0.080,9.550,0.12,-0.25,0.19,0.11,135.7,-165.1,9.56
3005,-0.310,0.120,9.540,0.12,-0.38,0.38,0.11,135.7,-158.8,9.55
3045,-0.310,0.070,9.550,0.12,-0.69,0.25,0.11,135.7,-167.3,9.56
3085,-0.280,0.090,9.550,0.06,-0.75,0.25,0.11,135.7,-162.2,9.55
3125,-0.290,0.090,9.570,-0.12,-0.62,0.31,0.11,135.7,-162.8,9.57
3165,-0.290,0.110,9.560,-0.06,-0.88,0.38,0.56,160.5,-159.2,9.57
3205,-0.250,0.070,9.520,-0.19,-0.81,0.38,0.56,160.5,-164.4,9.52
3245,-0.230,0.080,9.550,-0.25,-0.75,0.25,0.56,160.5,-160.8,9.55
3285,-0.240,0.080,9.570,-0.12,-0.69,0.25,0.56,160.5,-161.6,9.57
3325,-0.210,0.100,9.560,-0.19,-0.81,0.25,0.56,160.5,-154.5,9.56
3365,-0.220,0.070,9.560,-0.12,-0.88,0.38,0.56,160.5,-162.3,9.56
3405,-0.220,0.090,9.560,-0.25,-0.75,0.38,0.56,160.5,-157.8,9.56
3445,-0.200,0.100,9.570,-0.31,-0.56,0.44,0.56,160.5,-153.4,9.57
3485,-0.210,0.080,9.540,-0.25,-0.50,0.31,0.56,160.5,-159.1,9.54
3525,-0.200,0.090,9.550,-0.19,-0.44,0.38,0.56,160.5,-155.8,9.55
3565,-0.220,0.080,9.570,-0.25,-0.44,0.31,0.56,160.5,-160.0,9.57
3605,-0.220,0.080,9.580,-0.25,-0.44,0.31,0.56,160.5,-160.0,9.58
3645,-0.240,0.080,9.570,-0.19,-0.12,0.31,0.56,160.5,-161.6,9.57
3685,-0.230,0.070,9.550,-0.25,-0.25,0.25,0.56,160.5,-163.1,9.55
3725,-0.220,0.090,9.550,-0.19,-0.19,0.25,0.56,160.5,-157.8,9.55
3765,-0.230,0.090,9.550,-0.12,-0.06,0.25,0.56,160.5,-158.6,9.55
3805,-0.250,0.090,9.540,-0.12,-0.06,0.25,0.56,160.5,-160.2,9.54
3845,-0.250,0.090,9.530,0.00,-0.12,0.25,0.56,160.5,-160.2,9.53
3885,-0.230,0.100,9.540,-0.31,0.00,0.31,0.56,160.5,-156.5,9.54
3925,-0.240,0.090,9.530,-0.06,-0.19,0.50,0.56,160.5,-159.4,9.53
3965,-0.230,0.080,9.570,0.06,-0.06,0.44,0.56,160.5,-160.8,9.57
4005,-0.240,0.070,9.560,0.12,0.00,0.38,0.56,160.5,-163.7,9.56
4045,-0.190,0.090,9.590,0.19,0.06,0.50,0.56,160.5,-154.7,9.59
4085,-0.160,0.080,9.600,-0.06,0.44,0.56,0.56,160.5,-153.4,9.60
4125,-0.160,0.090,9.610,-0.12,0.69,0.44,0.56,160.5,-150.6,9.61
4165,-0.140,0.070,9.620,0.00,1.12,0.38,0.13,160.5,-153.4,9.62
4205,-0.150,0.080,9.650,-0.25,1.50,0.19,0.13,160.5,-151.9,9.65
4245,-0.180,0.060,9.640,-0.25,1.88,0.12,0.13,160.5,-161.6,9.64
4285,-0.230,0.080,9.620,-0.25,2.25,0.06,0.13,160.5,-160.8,9.62
4325,-0.230,0.090,9.540,-0.19,2.44,0.12,0.13,160.5,-158.6,9.54
4365,-0.230,0.120,9.590,-0.25,2.75,0.06,0.13,160.5,-152.4,9.59
4405,-0.290,0.090,9.580,-0.12,2.88,-0.12,0.13,160.5,-162.8,9.58
4445,-0.360,0.070,9.660,-0.25,3.19,-0.25,0.13,160.5,-169.0,9.67
4485,-0.450,0.090,9.580,-0.12,3.12,-0.19,0.13,160.5,-168.7,9.59
4525,-0.450,0.070,9.550,-0.19,3.25,-0.25,0.13,160.5,-171.2,9.56
4565,-0.430,0.110,9.540,-0.19,2.81,-0.19,0.13,160.5,-165.7,9.55
4605,-0.450,0.100,9.550,-0.38,2.81,-0.25,0.13,160.5,-167.5,9.56
4645,-0.540,0.080,9.530,-0.06,2.56,-0.19,0.13,160.5,-171.6,9.55
4685,-0.520,0.110,9.520,-0.31,2.31,-0.19,0.13,160.5,-168.1,9.53
4725,-0.540,0.110,9.530,-0.44,2.06,-0.12,0.13,160.5,-168.5,9.55
4765,-0.570,0.080,9.530,-0.31,1.62,-0.19,0.13,160.5,-172.0,9.55
4805,-0.530,0.080,9.490,-0.38,1.19,-0.19,0.13,160.5,-171.4,9.51
4845,-0.560,0.030,9.500,-0.38,0.62,0.00,0.13,160.5,-176.9,9.52
4885,-0.560,0.040,9.540,-0.38,0.12,0.06,0.13,160.5,-175.9,9.56
4925,-0.720,-0.120,9.510,-0.44,-0.12,0.12,0.13,160.5,170.5,9.54
4965,-0.500,0.010,9.550,-0.44,-0.75,0.12,0.13,160.5,-178.9,9.56
5005,-0.490,0.040,9.450,-0.25,-1.00,0.12,0.13,160.5,-175.3,9.46
5045,-0.540,0.040,9.520,0.06,-1.56,0.12,0.13,160.5,-175.8,9.54
5085,-0.500,0.000,9.490,0.06,-1.69,0.19,0.13,160.5,-180.0,9.50
5125,-0.450,-0.020,9.530,0.12,-1.94,0.31,0.13,160.5,177.5,9.54
5165,-0.430,0.010,9.530,0.19,-2.19,0.31,0.07,160.5,-178.7,9.54
5205,-0.410,0.000,9.520,0.12,-2.44,0.31,0.07,160.5,-180.0,9.53
5245,-0.350,0.050,9.490,0.19,-2.44,0.25,0.07,160.5,-171.9,9.50
5285,-0.370,0.080,9.540,0.19,-2.62,0.38,0.07,160.5,-167.8,9.55
5325,-0.370,0.040,9.540,0.31,-2.69,0.25,0.07,160.5,-173.8,9.55
5365,-0.320,0.050,9.540,0.19,-2.62,0.31,0.07,160.5,-171.1,9.55
5405,-0.280,0.060,9.560,0.50,-2.69,0.44,0.07,160.5,-167.9,9.56
5445,-0.280,0.100,9.520,0.44,-2.62,0.31,0.07,160.5,-160.3,9.52
5485,-0.260,0.100,9.520,0.31,-2.62,0.44,0.07,160.5,-159.0,9.52
5525,-0.220,0.100,9.540,0.31,-2.56,0.38,0.07,160.5,-155.6,9.54
5565,-0.210,0.130,9.580,0.38,-2.50,0.38,0.07,160.5,-148.2,9.58
5605,-0.230,0.110,9.560,0.50,-2.25,0.25,0.07,160.5,-154.4,9.56
5645,-0.220,0.110,9.530,0.25,-1.94,0.31,0.07,160.5,-153.4,9.53
5685,-0.200,0.110,9.570,0.19,-1.75,0.25,0.07,160.5,-151.2,9.57
5725,-0.180,0.100,9.570,0.25,-1.75,0.44,0.07,160.5,-150.9,9.57
5765,-0.200,0.120,9.580,0.38,-1.56,0.19,0.07,160.5,-149.0,9.58
5805,-0.180,0.120,9.590,0.19,-1.44,0.25,0.07,160.5,-146.3,9.59
5845,-0.210,0.090,9.580,0.25,-1.06,0.31,0.07,160.5,-156.8,9.58
5885,-0.180,0.090,9.600,0.00,-0.62,0.19,0.07,160.5,-153.4,9.60
5925,-0.140,0.100,9.590,0.12,-0.44,0.12,0.07,160.5,-144.5,9.59
5965,-0.150,0.100,9.600,0.00,-0.25,0.19,0.07,160.5,-146.3,9.60
6005,-0.110,0.100,9.610,-0.06,0.25,0.12,0.07,160.5,-137.7,9.61
6045,-0.100,0.100,9.640,0.00,0.50,0.06,0.07,160.5,-135.0,9.64
6085,-0.110,0.070,9.610,-0.06,0.94,0.06,0.07,160.5,-147.5,9.61
6125,-0.120,0.080,9.650,-0.12,1.44,-0.06,0.07,160.5,-146.3,9.65
6165,-0.120,0.090,9.640,-0.12,1.88,-0.19,0.42,101.1,-143.1,9.64
6205,-0.190,0.090,9.610,-0.12,2.12,-0.19,0.42,101.1,-154.7,9.61
# BOOT millis=1188
1259,0.000,0.000,0.000,0.00,0.00,0.00,0.00,0.0,-0.0,0.00
1299,0.000,0.000,0.000,0.00,0.00,0.00,0.00,0.0,-0.0,0.00
1339,0.000,0.000,0.000,0.00,0.00,0.00,0.00,0.0,-0.0,0.00
1379,0.000,0.000,0.000,0.00,0.00,0.00,0.00,0.0,-0.0,0.00
1419,0.000,0.000,0.000,0.00,0.00,0.00,0.00,0.0,-0.0,0.00
1459,0.000,0.000,0.000,1.56,-3.88,1.81,0.00,0.0,-0.0,0.00
1499,4.850,1.400,-3.500,0.19,-1.38,1.00,0.00,0.0,-16.1,6.14
1539,0.720,-1.520,-5.070,-2.50,4.25,6.75,0.00,0.0,64.7,5.34
1579,10.770,-0.280,-2.250,-1.50,1.00,4.06,0.00,0.0,1.5,11.01
1619,13.110,-1.030,1.760,-2.06,4.81,3.25,0.00,0.0,4.5,13.27
1659,7.590,2.070,2.770,-1.56,3.56,2.94,0.00,0.0,-15.3,8.34
1699,8.880,-0.200,1.180,-1.81,2.00,2.69,0.00,0.0,1.3,8.96
1739,6.450,-1.080,0.680,-1.06,-1.38,4.06,0.00,0.0,9.5,6.58
1779,8.670,0.700,-1.490,-1.12,-3.06,2.06,0.00,0.0,-4.6,8.82
1819,9.200,-0.280,1.590,-2.44,2.81,1.88,0.00,0.0,1.7,9.34
1859,5.590,-0.770,-1.830,-1.88,1.25,3.12,0.00,0.0,7.8,5.93
1899,9.020,0.140,3.060,-3.81,3.75,2.75,0.00,0.0,-0.9,9.53
1939,9.410,-1.690,-0.580,-2.12,0.19,2.81,0.00,0.0,10.2,9.58
1979,5.280,1.010,0.220,-0.31,0.50,1.06,0.00,0.0,-10.8,5.38
2019,8.300,0.640,2.190,-4.19,0.31,-1.38,0.00,0.0,-4.4,8.61
2059,13.460,-0.660,-1.510,-1.25,-4.75,1.00,0.00,0.0,2.8,13.56
2099,4.250,-0.130,2.700,2.81,-2.94,-2.75,0.00,0.0,1.8,5.04
2139,9.600,0.740,-1.600,-2.69,1.25,1.31,0.00,0.0,-4.4,9.76
2179,8.940,-2.080,-0.340,-3.38,0.88,3.94,0.00,0.0,13.1,9.19
2219,4.950,0.780,-0.910,1.19,-3.19,-2.06,0.00,0.0,-9.0,5.09
2259,10.620,-0.650,-0.810,-1.19,-1.31,-0.19,0.00,0.0,3.5,10.67
2299,10.040,-1.940,-2.080,0.12,-2.31,4.50,0.00,0.0,10.9,10.44
2339,8.350,-1.290,2.180,-2.50,-2.12,3.19,0.00,0.0,8.8,8.73
2379,9.150,0.010,0.100,0.94,0.44,1.19,0.00,0.0,-0.1,9.15
2419,7.420,-1.220,2.380,-4.12,5.81,3.25,0.00,0.0,9.3,7.89
2459,9.300,-1.520,-1.680,-0.44,1.50,2.25,0.00,0.0,9.3,9.57
2499,8.800,-0.810,1.050,-3.88,4.56,2.38,0.00,0.0,5.3,8.90
2539,5.580,-1.300,-1.380,-2.00,0.81,1.94,0.00,0.0,13.1,5.89
2579,5.200,0.000,-0.800,-1.06,1.50,1.06,0.00,0.0,-0.0,5.26
2619,4.080,-1.100,1.170,-3.81,5.50,4.50,0.00,0.0,15.1,4.38
2659,8.660,-0.380,0.370,-1.00,-1.06,3.19,0.00,0.0,2.5,8.68
2699,11.190,-1.220,-0.060,-1.75,-1.56,2.12,0.00,0.0,6.2,11.26
2739,9.450,-0.610,-1.660,-0.50,-2.38,1.69,0.00,0.0,3.7,9.61
2779,3.390,-0.600,4.900,-0.19,6.25,0.06,0.00,0.0,10.0,5.99
2819,6.980,-0.420,0.110,-4.56,2.88,0.25,0.00,0.0,3.4,6.99
2859,7.790,1.150,-2.990,2.69,-5.38,-3.56,0.00,0.0,-8.4,8.42
2899,9.920,-0.250,1.790,-3.38,-0.06,0.06,0.00,0.0,1.4,10.08
2939,2.360,-0.620,-2.300,-0.88,-3.12,2.88,0.00,0.0,14.7,3.35
2979,12.030,0.000,1.360,-1.56,0.75,-0.38,0.00,0.0,-0.0,12.11
3019,13.850,-1.290,-1.750,-2.81,-1.31,3.38,0.00,0.0,5.3,14.02
3059,12.900,0.370,2.840,0.50,-0.88,-0.12,0.00,0.0,-1.6,13.21
3099,6.690,-0.100,2.600,-1.88,-1.06,-4.00,0.00,0.0,0.9,7.18
3139,4.810,-0.900,-2.140,0.50,-0.56,-2.81,0.00,0.0,10.6,5.34
3179,7.100,-1.540,0.580,-0.25,-0.31,-2.50,0.00,0.0,12.2,7.29
3219,10.490,-0.570,2.210,-0.44,-3.31,0.94,0.00,0.0,3.1,10.74
3259,8.460,-1.240,-0.860,-0.94,-1.88,-3.69,0.00,0.0,8.3,8.59
3299,16.340,-0.090,-0.320,-0.56,-0.38,0.56,0.00,0.0,0.3,16.34
3339,11.590,-0.620,1.870,-1.56,1.38,2.31,0.00,0.0,3.1,11.76
3379,12.430,-1.780,1.360,-1.44,2.31,2.00,0.00,0.0,8.1,12.63
3419,11.380,-1.390,-0.220,-0.75,-2.31,1.94,0.00,0.0,7.0,11.47
3459,8.470,1.620,-1.720,2.69,-3.31,-3.25,0.00,0.0,-10.8,8.79
3499,13.640,-0.930,-1.050,-1.12,-1.38,-0.50,0.00,0.0,3.9,13.71
3539,8.910,2.090,-3.320,2.50,-3.75,-4.50,0.00,0.0,-13.2,9.74
3579,6.740,0.590,1.430,-3.12,3.94,-3.69,0.00,0.0,-5.0,6.92
3619,9.750,0.320,-2.400,0.25,-0.25,-1.94,0.00,0.0,-1.9,10.05
3659,8.380,-0.220,0.220,-0.88,0.25,-2.81,0.00,0.0,1.5,8.39
3699,6.820,-0.350,-0.280,-0.25,-0.56,-2.38,0.00,0.0,2.9,6.83
3739,11.820,-2.050,0.110,-0.12,2.19,0.25,0.00,0.0,9.8,12.00
3779,11.350,-0.970,0.780,0.19,-1.12,0.69,0.00,0.0,4.9,11.42
3819,7.720,0.700,-2.910,0.56,-3.62,-4.12,0.00,0.0,-5.2,8.28
3859,11.580,-0.020,2.270,0.56,1.00,-1.88,0.00,0.0,0.1,11.80
3899,7.810,-0.680,0.010,-0.81,-0.06,-1.25,0.00,0.0,5.0,7.84
3939,10.710,-0.060,0.360,0.69,0.00,-2.31,0.00,0.0,0.3,10.72
3979,7.850,-0.750,0.140,-0.88,-0.38,-3.94,0.00,0.0,5.5,7.89
4019,10.180,0.890,0.040,-0.50,-1.50,-7.12,0.00,0.0,-5.0,10.22
4059,10.740,1.090,0.100,1.31,-3.81,-5.81,0.00,0.0,-5.8,10.80
4099,5.390,-0.290,-2.170,1.88,-0.88,-4.06,0.00,0.0,3.1,5.82
4139,9.920,0.740,1.350,-2.00,0.88,0.12,0.00,0.0,-4.3,10.04
4179,8.650,-1.190,3.040,0.81,-3.69,-1.19,0.00,0.0,7.8,9.25
4219,14.040,0.140,-2.540,0.12,-2.00,-3.25,0.00,0.0,-0.6,14.27
4259,17.270,0.330,3.580,-1.62,0.19,-3.62,0.00,0.0,-1.1,17.64
4299,4.840,-1.320,0.120,-0.56,0.44,3.69,0.00,0.0,15.3,5.02
4339,6.380,0.620,1.190,0.88,2.75,-1.25,0.00,0.0,-5.6,6.52
4379,7.930,-0.990,1.660,-2.31,4.44,0.88,0.00,0.0,7.1,8.16
4419,9.200,-1.120,-1.960,-0.12,-2.62,1.56,0.00,0.0,6.9,9.47
4459,13.940,-0.460,1.060,-0.38,0.31,-0.56,0.00,0.0,1.9,13.99
4499,14.470,2.970,-1.810,0.81,-4.12,-0.69,0.00,0.0,-11.6,14.88
4539,9.100,0.850,-0.230,-0.19,1.25,-3.50,0.00,0.0,-5.3,9.14
4579,9.880,0.750,-4.390,-1.69,-0.06,-3.56,0.00,0.0,-4.3,10.84
4619,4.980,2.530,0.390,3.44,-6.25,-7.00,0.00,0.0,-26.9,5.60
4659,10.180,0.400,2.980,1.12,0.06,-0.88,0.00,0.0,-2.3,10.61
4699,4.650,-0.860,0.930,-2.12,1.56,0.81,0.00,0.0,10.5,4.82
4739,7.800,0.220,-0.430,-0.31,0.19,-0.50,0.00,0.0,-1.6,7.81
4779,11.780,0.340,1.750,-1.62,0.06,0.81,0.00,0.0,-1.7,11.91
4819,7.690,-0.350,2.670,-1.06,3.00,-1.19,0.00,0.0,2.6,8.15
4859,8.210,-1.610,-0.690,0.38,-2.31,-1.19,0.00,0.0,11.1,8.39
4899,12.730,-1.960,-1.090,-1.12,3.12,2.75,0.00,0.0,8.8,12.93
4939,9.050,0.260,2.400,1.06,-2.00,1.38,0.00,0.0,-1.6,9.37
4979,8.340,-0.220,-3.160,-0.62,4.38,0.44,0.00,0.0,1.5,8.92
5019,8.730,0.590,1.770,-3.44,4.31,4.69,0.00,0.0,-3.9,8.93
5059,11.000,0.580,0.110,0.81,1.00,2.25,0.00,0.0,-3.0,11.02
5099,7.220,-0.270,2.990,-2.88,2.31,2.00,0.00,0.0,2.1,7.82
5139,10.150,-1.550,-1.250,1.12,-3.06,1.75,0.00,0.0,8.7,10.34
5179,3.820,0.010,-0.280,-1.00,7.56,2.81,0.00,0.0,-0.1,3.83
5219,8.700,-0.200,4.560,-6.19,0.81,4.38,0.00,0.0,1.3,9.82
5259,3.540,1.570,-8.650,6.62,-6.19,-3.81,0.00,0.0,-23.9,9.48
5299,8.110,-0.240,-3.600,6.19,-7.69,2.31,0.00,0.0,1.7,8.88
5339,10.630,2.080,3.140,-1.44,2.56,0.06,0.00,0.0,-11.1,11.28
5379,4.380,0.120,1.380,-0.12,2.31,1.31,0.00,0.0,-1.6,4.59
5419,10.500,-1.220,0.760,-1.88,4.88,5.38,0.00,0.0,6.6,10.60
5459,8.940,-1.660,-2.750,-1.94,-2.38,5.38,0.00,0.0,10.5,9.50
5499,11.650,-0.110,3.840,-1.56,2.88,-0.56,0.00,0.0,0.5,12.27
5539,11.780,0.590,0.000,1.50,-1.44,-2.69,0.00,0.0,-2.9,11.79
5579,2.530,-0.350,-0.660,0.44,1.62,0.19,0.00,0.0,7.9,2.64
5619,10.860,-1.240,1.820,-3.31,3.81,1.19,0.00,0.0,6.5,11.08
5659,12.400,-0.150,0.900,0.00,0.94,-1.62,0.00,0.0,0.7,12.43
5699,11.810,-0.660,4.900,-1.38,2.31,-2.12,0.00,0.0,3.2,12.80
5739,11.360,1.270,-4.550,2.19,-2.44,-4.56,0.00,0.0,-6.4,12.30
5779,12.640,2.690,-1.500,0.50,2.69,-7.69,0.00,0.0,-12.0,13.01
5819,7.820,0.350,0.000,0.25,6.94,-4.88,0.00,0.0,-2.6,7.83
5859,8.890,0.530,1.700,-1.06,5.81,-3.25,0.00,0.0,-3.4,9.07
5899,11.880,0.720,2.580,0.31,-0.81,-5.25,0.00,0.0,-3.5,12.18
5939,13.050,-0.070,1.380,0.94,-0.19,-7.56,0.00,0.0,0.3,13.12
5979,8.730,0.030,1.790,-2.00,1.69,-2.56,28.07,283.0,-0.2,8.91
6019,11.560,1.220,1.120,4.00,1.50,-5.38,28.07,283.0,-6.0,11.68
6059,7.470,-1.550,-0.420,0.56,1.62,-1.38,28.07,283.0,11.7,7.64
6099,8.150,-1.680,-0.840,1.69,1.38,1.00,28.07,283.0,11.6,8.36
6139,8.160,-0.210,2.680,-0.31,0.75,-3.00,28.07,283.0,1.5,8.59
6179,10.690,-0.820,-1.770,3.00,-7.19,-3.19,28.07,283.0,4.4,10.87
6219,15.390,0.330,-2.040,3.38,-4.12,-6.75,28.07,283.0,-1.2,15.53
6259,11.770,-1.190,-6.380,2.81,3.12,-6.88,28.07,283.0,5.8,13.44
6299,1.940,-1.640,-2.530,4.19,-1.56,2.19,28.07,283.0,40.2,3.59
6339,9.060,-1.240,-1.080,-0.19,-2.44,5.31,28.07,283.0,7.8,9.21
6379,9.560,0.040,-1.250,1.50,-2.31,-2.12,28.07,283.0,-0.2,9.64
6419,11.870,2.610,-2.960,3.12,-7.19,-6.19,28.07,283.0,-12.4,12.51
6459,9.730,-2.330,3.890,-0.88,4.19,3.31,28.07,283.0,13.5,10.73
6499,3.710,-0.680,0.700,-1.81,2.69,0.69,28.07,283.0,10.4,3.84
6539,6.590,-0.920,0.650,0.00,0.75,-3.00,28.07,283.0,7.9,6.69
6579,14.290,-1.080,-2.340,0.62,-4.06,-0.31,28.07,283.0,4.3,14.52
6619,11.330,0.840,5.450,0.00,3.69,-1.69,28.07,283.0,-4.2,12.60
6659,10.750,1.870,-2.540,4.12,-1.81,-1.50,28.07,283.0,-9.9,11.20
6699,11.610,1.550,4.090,-1.12,7.69,-1.81,28.07,283.0,-7.6,12.41
6739,3.780,0.530,2.910,1.62,3.69,3.44,28.07,283.0,-8.0,4.80
6779,7.570,-2.710,1.670,-2.56,3.69,7.19,28.07,283.0,19.7,8.21
6819,10.510,-1.690,2.200,0.38,-0.38,5.75,28.07,283.0,9.1,10.87
6859,10.050,-1.910,-2.810,2.25,-2.50,2.56,28.07,283.0,10.8,10.61
6899,8.620,-1.590,-0.330,-1.06,7.81,3.06,28.07,283.0,10.5,8.77
6939,13.190,-0.290,-3.090,1.94,1.00,0.69,27.36,283.1,1.3,13.55
6979,10.060,2.860,2.380,-0.12,5.56,-3.19,27.36,283.1,-15.9,10.73
7019,8.360,-0.580,2.850,-1.94,5.06,0.12,27.36,283.1,4.0,8.85
7059,7.360,1.010,2.830,1.00,1.56,-5.38,27.36,283.1,-7.8,7.95
7099,10.780,-0.700,2.170,-1.06,-2.25,-2.19,27.36,283.1,3.7,11.02
7139,2.550,-0.460,-5.200,4.25,-3.62,-1.38,27.36,283.1,10.2,5.81
7179,7.870,1.720,-3.530,0.56,3.44,1.81,27.36,283.1,-12.3,8.80
7219,14.600,-0.250,1.830,-0.44,-0.25,-0.81,27.36,283.1,1.0,14.72
7259,12.320,2.550,-7.170,0.06,-5.75,-1.81,27.36,283.1,-11.7,14.48
7299,6.490,0.610,1.510,0.81,-2.06,1.06,27.36,283.1,-5.4,6.69
7339,8.280,0.990,2.060,2.38,-1.00,2.19,27.36,283.1,-6.8,8.59
7379,7.690,-0.200,0.190,-0.69,-1.12,2.00,27.36,283.1,1.5,7.69
7419,16.270,0.280,-0.430,1.19,-5.00,0.69,27.36,283.1,-1.0,16.28
7459,11.230,1.460,3.360,1.44,-0.81,-0.50,27.36,283.1,-7.4,11.81
7499,2.550,-0.190,-3.910,0.81,-1.75,3.81,27.36,283.1,4.3,4.67
7539,13.730,-3.280,-1.290,-1.56,-3.69,8.44,27.36,283.1,13.4,14.18
7579,6.420,-0.480,-4.460,4.56,-8.56,3.31,27.36,283.1,4.3,7.83
7619,8.550,1.710,-0.960,3.06,-2.31,-0.56,27.36,283.1,-11.3,8.77
7659,11.720,-0.840,0.760,-0.56,0.19,2.25,27.36,283.1,4.1,11.77
7699,11.840,1.030,1.350,0.31,-1.44,0.50,27.36,283.1,-5.0,11.96
7739,13.890,0.990,-1.120,1.19,0.44,-0.62,27.36,283.1,-4.1,13.97
7779,6.020,1.110,-5.310,1.12,-1.88,-2.44,27.36,283.1,-10.4,8.10
7819,13.990,1.900,0.520,-1.12,-0.50,1.94,27.36,283.1,-7.7,14.13
7859,10.280,2.170,-0.440,-2.12,5.12,-3.25,27.36,283.1,-11.9,10.52
7899,5.920,1.360,0.680,-0.38,5.38,-2.69,27.36,283.1,-12.9,6.11
7939,9.720,0.540,1.040,-2.12,2.88,-0.38,27.14,282.4,-3.2,9.79
7979,12.830,0.630,-1.000,-0.12,1.62,-1.38,27.14,282.4,-2.8,12.88
8019,10.560,1.530,1.250,-1.06,0.00,-1.81,27.14,282.4,-8.2,10.74
8059,5.850,0.270,-1.850,-1.25,4.88,0.25,27.14,282.4,-2.6,6.14
8099,8.440,0.000,4.010,-2.25,1.62,0.94,27.14,282.4,-0.0,9.34
8139,8.320,-1.310,-2.250,2.44,-5.56,1.81,27.14,282.4,8.9,8.72
8179,6.270,-0.280,1.220,1.50,-1.38,1.62,27.14,282.4,2.6,6.39
8219,8.970,-1.420,-0.830,-0.25,-2.00,1.81,27.14,282.4,9.0,9.12
8259,14.790,-0.520,6.080,0.25,3.00,1.00,27.14,282.4,2.0,16.00
8299,14.040,-0.570,4.760,-2.62,6.56,1.25,27.14,282.4,2.3,14.84
